Company,County Located,4x2 Utility Vehicles,Air Compressors & Generators (truck mounted),Alternate Fuel Conversions,Alternate Fuel Vehicles,Body Upfits,Bucket Trucks,Cab & Chassis,Cranes (truck mounted),Garbage Trucks,Hydraulic Systems (truck mounted),Liftgates,Lifts- Vehicle Mobile (which do not require construction),Liquid Winter Maintenance Systems (truck mounted),Pickup Trucks and Cargo Vans,Recycling Trucks,Salt/Sand Spreaders (truck mounted),Snowplows (truck mounted),Trailers,Vacuum Trucks/Street Sweepers,Manufacturers,Expiration,CONTROLLER,ADDRESS1,ADDRESS2,E-MAIL ADDRESS,CONTACT,PHONE #,FAX #
"Hale Trailer Brake & Wheel, Inc.",,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"BWS Manufacturing;
East Manufacturing
Corporation;
Fontaine Trailer;
Parker Dump
Trailers; Polar Tank",1/17/16,48557,,,,,,
Heritage Truck Equipment,,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Bibeau; Heritage Truck Equipment,11/18/15,48557,,,,,,
Hill International Trucks LLC,Washington,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,International Truck and Engine Corporation; Navistar Inc.,9/30/15,48557,,,,,,
Hoffman Ford Sales Inc.,,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Ford Motor Company,4/21/16,48557,,,,,,
"Hondru Auto of E-Town, Inc. dba Hondru Chrysler Dodge Jeep Ram",,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Chrysler,4/9/16,48557,,,,,,
"Hondru Chevrolet, Inc. d/b/a E-Town Chevrolet Oldsmobile Pontiac",,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,General Motors (Chevrolet-Buick-GMC-Cadillac),4/21/16,48557,,,,,,
"Hondru Ford, Inc",,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Ford Motor Company,4/21/16,48557,,,,,,
"Horwith Trucks, Inc",,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Freightliner; Mac Trailer Mfg.; Morgan Olson; Western Star Trucks,4/22/16,48557,,,,,,
"Hostetler Truck Bodies and Trailers (DK Hostetler, Inc. DBA)",,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,"Belmont Trailers; Bri-Mar Manufacturing, LLC; Buyers Products Company; Cadet Truck Bodies; FORCE America, Inc.; Harsh International, Inc.; Hudson Bros. Trailer Mfg., Inc.; Knapheide Manufacturing Company; Liftmoore, Inc.; M.H. Eby, Inc.; Moritz International Inc.; Pace American; Rugby Manufacturing Co. (TBEI); Thieman Tailgates, Inc.; Western Products (Snow Plows/Removal Equip); Worthington Aluminum Trailers",4/21/16,48557,,,,,,
Hunter Keystone Peterbilt LP,Butler,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Peterbilt Trucks,9/2/15,48557,,,,,,
"Hunter Truck Sales & Service, Inc",Butler,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,International Truck and Engine Corporation; Peterbilt Trucks,9/2/15,48557,,,,,,
